"File Name","File Size","File Type","Created","Resolution","Dimensions","Encoding","Data Rate","Duration","Compression","Path Name","Disk Name"
"sidebar-grad.jpg","77.3 KB","JPEG","8/23/2016 9:07:52 AM","72","229 x 550","Photo - JPEG","-","-","1:4","R:\hosts\webcast.mit.edu\fall2017\14.02\images\sidebar-grad.jpg","R:"
"14.01-banner1.png","323.5 KB","PNG ","1/31/2017 3:31:46 PM","72","900 x 115","PNG","-","-","1:1","R:\hosts\webcast.mit.edu\fall2017\14.02\images\14.01-banner1.png","R:"
"14.02-banner.png","341 KB","PNG ","1/31/2017 3:21:24 PM","72","952 x 115","PNG","-","-","1:1","R:\hosts\webcast.mit.edu\fall2017\14.02\images\14.02-banner.png","R:"
"Untitled-7.psd","123.6 KB","PSD ","1/31/2017 11:33:21 AM","72","952 x 115","Planar RGB","-","-","1:8","R:\hosts\webcast.mit.edu\fall2017\14.02\images\Untitled-7.psd","R:"
"Untitled-7.png","32.8 KB","PNG ","8/31/2016 12:01:02 PM","72","952 x 115","PNG","-","-","1:9","R:\hosts\webcast.mit.edu\fall2017\14.02\images\Untitled-7.png","R:"
"1video-2_8_2017.mp4","13.1 MB","MP4 ","9/6/2017 9:32:23 AM","72","1280 x 720","mp4a","257.8 KB/sec","00:00:51","1:127","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\vod\1video-2_8_2017.mp4","R:"
"video-2_8_2017.mp4","731.5 MB","MP4 ","9/6/2017 2:54:02 PM","72","1280 x 720","Livestream mp4 file writer","251.6 KB/sec","00:0-30:0-1","1:122","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\vod\video-2_8_2017.mp4","R:"
"six.css","7.3 KB","CSS ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\skins\six.css","R:"
"stormtrooper.css","5.1 KB","CSS ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\skins\stormtrooper.css","R:"
"five.css","4.3 KB","CSS ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\skins\five.css","R:"
"seven.css","4.7 KB","CSS ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\skins\seven.css","R:"
"glow.css","3.6 KB","CSS ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\skins\glow.css","R:"
"roundster.css","4.6 KB","CSS ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\skins\roundster.css","R:"
"beelden.css","5.8 KB","CSS ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\skins\beelden.css","R:"
"bekle.css","4.8 KB","CSS ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\skins\bekle.css","R:"
"vapor.css","4.6 KB","CSS ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\skins\vapor.css","R:"
"provider.caterpillar.js","205.8 KB","JS  ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\provider.caterpillar.js","R:"
"provider.shaka.js","121.3 KB","JS  ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\provider.shaka.js","R:"
"homepage2017.psd","3.2 MB","PSD ","1/26/2017 5:23:56 PM","72","590 x 332","Planar RGB","-","-","1:1","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\homepage2017.psd","R:"
"speed-3.js","2.4 KB","JS  ","3/17/2017 6:14:18 PM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\speed-3.js","R:"
"provider.youtube.js","5.4 KB","JS  ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\provider.youtube.js","R:"
"jwplayer.js","217.8 KB","JS  ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\jwplayer.js","R:"
"polyfills.base64.js","874 bytes","JS  ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\polyfills.base64.js","R:"
"fff.png","18.4 KB","PNG ","1/31/2017 10:50:40 AM","72","30 x 21","PNG","-","-","9:1","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\fff.png","R:"
"ff.png","18.4 KB","PNG ","1/31/2017 10:39:02 AM","72","30 x 21","PNG","-","-","9:1","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\ff.png","R:"
"polyfills.promise.js","2.3 KB","JS  ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\polyfills.promise.js","R:"
"jw-icons.ttf","5 KB","TTF ","7/22/2016 11:16:23 AM","-","-","TrueType","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\jw-icons.ttf","R:"
"-old-homepage17-02.jpg","251.3 KB","JPEG","1/31/2017 3:47:59 PM","72","780 x 439","Photo - JPEG","-","-","1:3","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\-old-homepage17-02.jpg","R:"
"speed-v2.js","1.9 KB","JS  ","3/10/2017 10:09:46 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\speed-v2.js","R:"
"provider.cast.js","12.1 KB","JS  ","7/22/2016 11:16:23 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\provider.cast.js","R:"
"speed.js","1.9 KB","JS  ","3/17/2017 5:56:40 PM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\speed.js","R:"
"f.png","18.4 KB","PNG ","1/31/2017 10:43:32 AM","72","30 x 21","PNG","-","-","9:1","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\f.png","R:"
"ffff.png","4.1 KB","PNG ","3/17/2017 5:39:17 PM","72","30 x 21","PNG","-","-","2:1","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\ffff.png","R:"
"homepage17-02.jpg","181.2 KB","JPEG","8/29/2017 9:10:49 AM","72","590 x 332","Photo - JPEG","-","-","1:3","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\homepage17-02.jpg","R:"
"14.02-em.html","882 bytes","HTML","3/17/2017 6:20:11 PM","-","-","DOS","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\14.02-em.html","R:"
"homepage17-02 (2).jpg","181.2 KB","JPEG","8/29/2017 9:10:49 AM","72","590 x 332","Photo - JPEG","-","-","1:3","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\homepage17-02 (2).jpg","R:"
"speed-min.js","24.5 KB","JS  ","2/18/2014 11:31:56 AM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\embed\speed-min.js","R:"
"homepage.jpg","181.2 KB","JPEG","8/29/2017 9:10:49 AM","72","590 x 332","Photo - JPEG","-","-","1:3","R:\hosts\webcast.mit.edu\fall2017\14.02\homepage.jpg","R:"
"homepage.png","323.1 KB","PNG ","8/29/2017 10:03:35 AM","72","900 x 115","PNG","-","-","1:1","R:\hosts\webcast.mit.edu\fall2017\14.02\homepage.png","R:"
"DE-ODL.css","13.7 KB","CSS ","9/6/2017 4:09:41 PM","-","-","-","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\DE-ODL.css","R:"
"index.html","9 KB","HTML","9/6/2017 10:55:49 AM","-","-","DOS","-","-","-","R:\hosts\webcast.mit.edu\fall2017\14.02\index.html","R:"
